v1,v2
ham,"Hey Tata, are you coming for drinks after class later?"
spam,"URGENT!!! You've won an iPhone 15. Click here to claim your PRIZE now."
ham,"Can you send me the report by 5 PM? Thanks."
spam,"FREE entry into our £1000 weekly draw. Text WIN to 80082 now!"
ham,"I'm running a bit late, see you in ten minutes."
spam,"Your account has been compromised. Log in at this secure link to verify."
ham,"Remember to bring your laptop to the meeting tomorrow morning."
spam,"CONGRATULATIONS! You have been selected for a free cruise vacation."
ham,"Thanks for the birthday wishes, had a great day!"
spam,"URGENT: Your mobile number has won a £2,000 bonus. Call now."
ham,"I'll be there in a sec, just looking for a parking spot."
spam,"Exclusive offer: Get 80% off on all luxury watches. Today only!"
ham,"Did you see the game last night? What a goal!"
spam,"Get a free Netflix account for a year. Click the link to register."
ham,"Could you please forward me the email from the director?"
spam,"Final warning: Your subscription will expire today. Renew now."
ham,"I'm so tired, I'm going to bed early tonight. See you tomorrow."
spam,"Invest in Bitcoin now and double your money in 24 hours. Guaranteed!"
ham,"Let's meet at the coffee shop at 4 PM to discuss the project."
spam,"Hot deals on flight tickets! Book your summer holidays with 50% off."
