v1,v2
ham,"Hola Tata, ¿te vienes luego a tomar algo después de clase?"
spam,"¡¡¡URGENTE!!! Has ganado un iPhone 15. Haz clic aquí para reclamar tu PREMIO."
ham,"No te olvides de comprar leche al volver a casa, porfa."
spam,"Préstamos inmediatos sin intereses. Respuesta en 5 minutos. ¡SOLICITA YA!"
ham,"¿Qué tal el examen de ayer? Espero que te saliera bien."
spam,"Gana dinero rápido trabajando desde casa. ¡Solo 2 horas al día! Infórmate aquí."
ham,"¿Me pasas el contacto del profesor de mates? No lo encuentro."
spam,"¡FELICIDADES! Tu número ha sido elegido para recibir 500 euros. Contacta ya."
ham,"¿Viste el partido anoche? ¡Vaya golazo!"
spam,"Tu cuenta ha sido bloqueada. Entra en este enlace para reactivarla ahora."
ham,"Mañana quedamos a las 10 en la biblioteca para el trabajo en grupo."
spam,"Oferta exclusiva: 80% de descuento en perfumes de marca solo hoy."
ham,"Dile a tu madre que le mando un beso, que hace mucho que no la veo."
spam,"RECLAMA TU REGALO: Has sido seleccionado por nuestro sorteo mensual."
ham,"Oye, ¿al final vas a ir a la fiesta de cumple de Javi?"
spam,"Invierta en Cripto y duplique su dinero en una semana. Garantizado."
ham,"Si necesitas ayuda con el código de Python me dices y lo miramos."
spam,"Su paquete está retenido en aduanas. Pague 2 euros para recibirlo."
ham,"¿Me dejas los apuntes de historia? Se me olvidó fotocopiarlos."
spam,"Citas calientes cerca de tu zona. Mira las fotos de las chicas aquí."
