id,producto,precio,edad,metodo_pago,descuento,opinion_cliente,compro
1,Laptop,1200,25,tarjeta,si,"Excelente calidad y muy rapido",si
2,Smartphone,800,34,paypal,no,"Un poco caro pero funcional",si
3,Tablet,400,22,tarjeta,si,"Pantalla increible para estudiar",si
4,Cascos,150,19,efectivo,no,"Se rompieron a la semana",no
5,Monitor,300,45,tarjeta,no,"Colores muy vivos y nitidos",si
6,Laptop,1300,50,paypal,si,"Ideal para mi trabajo diario",si
7,Smartphone,750,28,tarjeta,no,"La bateria dura muy poco",no
8,Tablet,450,31,paypal,si,"Ligera y potente me encanta",si
9,Cascos,120,24,efectivo,no,"Sonido decente por el precio",si
10,Monitor,350,38,tarjeta,si,"Gran tamaño para teletrabajar",si
11,Laptop,2500,29,tarjeta,no,"Demasiado pesado para viajar",no
12,Smartphone,900,42,paypal,si,"Camara espectacular en noche",si
13,Tablet,380,21,tarjeta,no,"Se calienta mucho al jugar",no
14,Cascos,200,26,efectivo,si,"Cancelacion de ruido magica",si
15,Monitor,280,33,tarjeta,no,"Base algo inestable pero ok",si
16,Laptop,1100,27,paypal,si,"Teclado muy comodo y suave",si
17,Smartphone,150,65,efectivo,no,"Muy basico pero me sirve",si
18,Tablet,500,35,tarjeta,si,"El lapiz tactil es preciso",si
19,Cascos,80,20,paypal,no,"Plastico de mala calidad",no
20,Monitor,420,40,tarjeta,si,"Resolucion 4k impresionante",si
21,Laptop,1250,23,tarjeta,no,"Diseño elegante y fino",si
22,Smartphone,850,36,paypal,si,"Interfaz muy intuitiva",si
23,Tablet,420,25,tarjeta,no,"Poca memoria de base",no
24,Cascos,180,30,efectivo,si,"Bajos potentes y claros",si
25,Monitor,310,48,tarjeta,no,"Mucho reflejo en la pantalla",no
26,Laptop,1350,52,paypal,si,"Rapidez asombrosa al encender",si
27,Smartphone,700,32,tarjeta,no,"Fotos de dia muy buenas",si
28,Tablet,460,29,paypal,si,"Carga muy rapido el sistema",si
29,Cascos,140,22,efectivo,no,"Almohadillas incomodas",no
